// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,174,2018/03/15 00:39:16.55,-412942055,63446467,93970694,-984654468
,175,2018/03/15 00:39:16.57,-412676223,63564651,93633099,-984790444
,176,2018/03/15 00:39:16.59,-412366404,63589716,93332821,-984947099
,177,2018/03/15 00:39:16.61,-411995744,63489708,93107548,-985129969
,178,2018/03/15 00:39:16.63,-411519096,63299059,92925797,-985358598
,179,2018/03/15 00:39:16.65,-410914494,62998593,92806978,-985641328
,180,2018/03/15 00:39:16.67,-410155082,62540269,92700981,-985996733
,181,2018/03/15 00:39:16.69,-409263452,62003191,92499853,-986419949
,182,2018/03/15 00:39:16.71,-408334931,61617653,92325405,-986845163
,183,2018/03/15 00:39:16.73,-407437551,61385098,92219104,-987240424
,184,2018/03/15 00:39:16.75,-406624670,61111990,92270910,-987587611
,185,2018/03/15 00:39:16.77,-405869712,60679301,92386182,-987914014
,186,2018/03/15 00:39:16.79,-405164526,60174533,92473600,-988226124
,187,2018/03/15 00:39:16.81,-404475014,59635910,92494844,-988539191
,188,2018/03/15 00:39:16.83,-403766663,59095080,92432907,-988866987
,189,2018/03/15 00:39:16.85,-402994732,58574352,92330029,-989222403
,190,2018/03/15 00:39:16.87,-402177845,58095226,92206962,-989594518
,191,2018/03/15 00:39:16.89,-401359847,57669645,92057590,-989965349
,192,2018/03/15 00:39:16.91,-400548944,57205906,91869444,-990338094
,193,2018/03/15 00:39:16.93,-399794106,56741922,91620289,-990692817
,194,2018/03/15 00:39:16.95,-399086435,56335889,91318398,-991029132
,195,2018/03/15 00:39:16.97,-398406986,56030437,91007136,-991348411
,196,2018/03/15 00:39:16.99,-397731388,55732234,90715270,-991663202
,197,2018/03/15 00:39:17.01,-397012604,55417796,90521418,-991986511
